jobTitle,companyName,salary_cleaned,pubDate,region,category,seniority
Senior Backend Developer (Node.js),Tether,51290.08333333333,2025-05-13 12:46:44,Other,Engineering,Senior
Integrations Tech Lead,Carefeed,169830.0,2025-05-12 14:50:44,North America,Other,Lead
"Engineering Manager, Analytics",Lattice,211000.0,2025-05-12 14:50:43,North America,Other,Other
Software Engineer,Anthropic,362500.0,2025-05-12 14:50:41,North America,Engineering,Other
Director of Engineering,Hi Rasmus Inc.,80.0,2025-05-12 14:50:40,Europe,Management,Other
"Senior Gameplay Programmer, AI",Insomniac Games,91.37,2025-05-12 14:50:35,North America,Data,Senior
Senior Software Engineer C++,Tether,51290.08333333333,2025-05-11 12:45:49,Other,Engineering,Senior
Senior Fullstack/Frontend Engineer,IronArch Technology,169830.0,2025-05-10 12:50:11,North America,Engineering,Senior
WordPress Developer,Solvd,67.73333333333333,2025-05-10 08:50:51,Remote,Engineering,Other
Software Configuration Specialist II - Policy,LE008 Duck Creek Technologies India LLP,67.73333333333333,2025-05-10 04:50:55,Asia,Other,Other
Salesforce Developer,SafeGuard World Payroll Services Private Limited (India),67.73333333333333,2025-05-10 04:50:55,Remote,Engineering,Other
iOS Developer,nooro,95.0,2025-05-09 21:15:41,North America,Engineering,Other
"Manager, Software Development",Workleap,89450.15,2025-05-09 20:50:36,North America,Other,Other
Engineering Manager,Hims And Hers,169830.0,2025-05-09 10:50:18,North America,Management,Other
Head of Research & Development (AI / Computer Vision),Panoptyc,350.0,2025-05-09 02:50:14,North America,Management,Other
iOS Developer,Teamified,67.73333333333333,2025-05-09 00:50:18,Asia,Engineering,Other
Sr Software Security Lead Engineer,Accela,67.73333333333333,2025-05-08 20:50:12,Latam,Engineering,Senior
Data Engineer,(Re)vive,155000.0,2025-05-08 04:50:11,North America,Data,Other
Frontend Engineer,Cmgx,306.08333333333337,2025-05-08 00:51:01,Latam,Engineering,Other
Java Full-Stack Developer,Powdevs,302.7333333333333,2025-05-07 22:50:36,Latam,Engineering,Other
"Senior Developer, Back End(Ruby) - Discovery",Fullscript,89450.15,2025-05-07 08:50:09,North America,Other,Senior
